This file is created using OBDScope v1.71
31.10.2013
www.obdscope.com

;;0x04;0x05;0x06;0x07;0x0b;0x0b;0x0c;0x0d;0x0d;0x0e;0x0f;0x10;0x11;0x15;0x21;0x24;0x24;0x24;0x439;0x438;0x437;0x437;0x437;0x442;0x442;0x443;0x470
Cycle;Timestamp;Calculated Load (%);Engine Coolant Temperature (°C);Short Term Fuel Trim B1 (%);Long Term Fuel Trim B1 (%);Intake Manifold Pressure (kPa(a));Intake Manifold Pressure (bar(g));Engine RPM (1/min);Vehicle Speed (km/h);Vehicle Speed (m/s);Timing advance (°);Intake Air Temperature (°C);Air Flow Rate (g/s);Absolute Throttle Position (%);O2 Sensor B1S2 (V);Distance with MIL (km);O2 Sensor (L/WB) B1S1 (V);O2 Sensor (L/WB) B1S1 (EqR);O2 Sensor (L/WB) B1S1 (lambda);Fuel System (0=Closed 1=Cold(O) 2=Load(O) 3=Fail(O) -1=Fail(C);OBD Port Voltage (V);Momentary Fuel Economy (l/100km);Momentary Fuel Economy (km/l);Momentary Fuel Economy (l/h);Engine power (hp);Engine power (kW);Engine torque (Nm);AFR B1S1
34;08:31:20.0;5.4902;48;-9.3744;-2.3436;42;-0.59325;1150;0;0;16;18;6.42;13.7255;0.08;0;2.13708;1.00346;0.996552;0;13.5;;;2.18458;7.14312;5.25377;44.23;14.5977
35;08:31:21.204125;5.4902;48;-10.9368;-2.3436;43;-0.58325;1143.75;0;0;16;18;6.42;13.7255;0.08;0;2.13708;1.00346;0.996552;0;13.5;;;2.18458;7.14312;5.25377;44.4717;14.5977
36;08:31:22.0;5.4902;48;-10.9368;-2.3436;43;-0.58325;1143.75;0;0;16;19;6.36;13.7255;0.08;0;2.13708;1.00346;0.996552;0;13.5;;;2.16417;7.07637;5.20467;44.0561;14.5977
37;08:31:23.0;5.4902;48;-10.9368;-2.3436;43;-0.58325;1143.75;0;0;16;19;6.36;13.7255;0.405;0;2.1571;0.998233;1.00177;0;13.5;;;2.16417;7.07637;5.20467;44.0561;14.5977
38;08:31:24.0;5.09804;49;-10.9368;-2.3436;43;-0.58325;1143.75;0;0;16;19;6.36;13.7255;0.405;0;2.1571;0.998233;1.00177;0;13.5;;;2.16417;7.07637;5.20467;44.0561;14.7484
39;08:31:25.0;5.09804;49;-10.9368;-2.3436;43;-0.58325;1090.5;0;0;16;19;6.36;13.7255;0.405;0;2.1571;0.998233;1.00177;0;13.5;;;2.16417;7.07637;5.20467;46.2074;14.7484
40;08:31:26.0;5.09804;49;-10.9368;-2.3436;43;-0.58325;1090.5;0;0;16;19;6.16;13.3333;0.62;0;2.1571;0.998233;1.00177;0;13.5;;;2.09611;6.85384;5.041;44.7543;14.7484
41;08:31:27.0;5.09804;49;-10.9368;-2.3436;43;-0.58325;1090.5;0;0;16;19;6.16;13.3333;0.62;0;2.16711;0.997413;1.00259;0;13.5;;;2.09611;6.85384;5.041;44.7543;14.7484
42;08:31:28.0;5.09804;49;-11.718;-2.3436;43;-0.58325;1090.5;0;0;16;19;6.16;13.3333;0.62;0;2.16711;0.997413;1.00259;0;13.5;;;2.09611;6.85384;5.041;44.7543;14.6466
43;08:31:29.0;5.09804;49;-11.718;-2.3436;43;-0.58325;1078;0;0;16;19;6.16;13.3333;0.62;0;2.16711;0.997413;1.00259;0;13.5;;;2.09611;6.85384;5.041;45.2733;14.6466
44;08:31:30.0;5.09804;49;-11.718;-2.3436;43;-0.58325;1078;0;0;16;19;6.12;13.3333;0.655;0;2.16711;0.997413;1.00259;0;13.5;;;2.0825;6.80933;5.00826;44.9793;14.6466
45;08:31:31.0;5.09804;49;-11.718;-2.3436;43;-0.58325;1078;0;0;16;19;6.12;13.3333;0.655;0;2.12207;1.00673;0.993317;0;13.4;;;2.0825;6.80933;5.00826;44.9793;14.587
46;08:31:32.0;5.09804;49;-12.4992;-2.3436;42;-0.59325;1078;0;0;16;19;6.12;13.3333;0.655;0;2.12207;1.00673;0.993317;0;13.4;;;2.0825;6.80933;5.00826;44.9793;14.587
47;08:31:33.0;5.09804;49;-12.4992;-2.3436;42;-0.59325;1053;0;0;16;19;6.12;13.3333;0.655;0;2.12207;1.00673;0.993317;0;13.4;;;2.0825;6.80933;5.00826;46.0472;14.587
48;08:31:34.0;5.09804;49;-12.4992;-2.3436;42;-0.59325;1053;0;0;16;19;5.76;13.3333;0.645;0;2.12207;1.00673;0.993317;0;13.4;;;1.96;6.40878;4.71366;43.3385;14.587
49;08:31:35.0;4.70588;50;-12.4992;-2.3436;42;-0.59325;1053;0;0;16;19;5.76;13.3333;0.645;0;2.20715;0.981607;1.01874;0;13.3;;;1.96;6.40878;4.71366;43.3385;14.9795
50;08:31:36.0;4.70588;50;-10.9368;-2.3436;43;-0.58325;1028;0;0;16;19;5.76;13.3333;0.645;0;2.20715;0.981607;1.01874;0;13.3;;;1.96;6.40878;4.71366;43.3385;14.9795
51;08:31:37.0;4.70588;50;-10.9368;-2.3436;43;-0.58325;1028;0;0;18;19;5.73;13.3333;0.645;0;2.20715;0.981607;1.01874;0;13.3;;;1.94979;6.37541;4.68911;44.1613;14.9795
52;08:31:38.0;4.70588;50;-10.9368;-2.3436;43;-0.58325;1028;0;0;18;19;5.73;13.3333;0.625;0;2.20715;0.981607;1.01874;0;13.3;;;1.94979;6.37541;4.68911;44.1613;14.9795
53;08:31:39.0;4.70588;50;-10.9368;-2.3436;43;-0.58325;1028;0;0;18;19;5.73;13.3333;0.625;0;2.1571;0.996897;1.00311;0;13.5;;;1.94979;6.37541;4.68911;44.1613;14.6677
54;08:31:40.004;4.70588;50;-11.718;-2.3436;44;-0.57325;1018.75;0;0;18;19;5.73;13.3333;0.625;0;2.1571;0.996897;1.00311;0;13.5;;;1.94979;6.37541;4.68911;44.1613;14.6677
55;08:31:41.0;4.70588;50;-11.718;-2.3436;44;-0.57325;1018.75;0;0;16;19;5.88;13.3333;0.625;0;2.1571;0.996897;1.00311;0;13.5;;;2.00083;6.5423;4.81186;45.7288;14.6677
